TSE_stat,date,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
"S&P/TSE Composite Index, close",1977-08-01,"Index, 2000=1000",176,1.3,1003.3,NA
"S&P/TSE Composite Index, close",1977-09-01,"Index, 2000=1000",176,1.3,1000.07,NA
"S&P/TSE Composite Index, close",1977-10-01,"Index, 2000=1000",176,1.3,970.53,NA
"S&P/TSE Composite Index, close",1977-11-01,"Index, 2000=1000",176,1.3,1017.48,NA
"S&P/TSE Composite Index, close",1977-12-01,"Index, 2000=1000",176,1.3,1059.59,NA
"S&P/TSE Composite Index, close",1978-01-01,"Index, 2000=1000",176,1.3,998.44,NA
"S&P/TSE Composite Index, close",1978-02-01,"Index, 2000=1000",176,1.3,1005.68,NA
"S&P/TSE Composite Index, close",1978-03-01,"Index, 2000=1000",176,1.3,1063.26,NA
"S&P/TSE Composite Index, close",1978-04-01,"Index, 2000=1000",176,1.3,1081.5,NA
"S&P/TSE Composite Index, close",1978-05-01,"Index, 2000=1000",176,1.3,1128.76,NA
"S&P/TSE Composite Index, close",1978-06-01,"Index, 2000=1000",176,1.3,1126.16,NA
"S&P/TSE Composite Index, close",1978-07-01,"Index, 2000=1000",176,1.3,1193.79,NA
"S&P/TSE Composite Index, close",1978-08-01,"Index, 2000=1000",176,1.3,1232.21,NA
"S&P/TSE Composite Index, close",1978-09-01,"Index, 2000=1000",176,1.3,1284.66,NA
"S&P/TSE Composite Index, close",1978-10-01,"Index, 2000=1000",176,1.3,1215.84,NA
"S&P/TSE Composite Index, close",1978-11-01,"Index, 2000=1000",176,1.3,1269.8,NA
"S&P/TSE Composite Index, close",1978-12-01,"Index, 2000=1000",176,1.3,1309,NA
"S&P/TSE Composite Index, close",1979-01-01,"Index, 2000=1000",176,1.3,1355.4,NA
"S&P/TSE Composite Index, close",1979-02-01,"Index, 2000=1000",176,1.3,1385.36,NA
"S&P/TSE Composite Index, close",1979-03-01,"Index, 2000=1000",176,1.3,1466.37,NA
"S&P/TSE Composite Index, close",1979-04-01,"Index, 2000=1000",176,1.3,1484.31,NA
"S&P/TSE Composite Index, close",1979-05-01,"Index, 2000=1000",176,1.3,1519.67,NA
"S&P/TSE Composite Index, close",1979-06-01,"Index, 2000=1000",176,1.3,1618.41,NA
"S&P/TSE Composite Index, close",1979-07-01,"Index, 2000=1000",176,1.3,1558.1,NA
"S&P/TSE Composite Index, close",1979-08-01,"Index, 2000=1000",176,1.3,1695.3,NA
"S&P/TSE Composite Index, close",1979-09-01,"Index, 2000=1000",176,1.3,1751.89,NA
"S&P/TSE Composite Index, close",1979-10-01,"Index, 2000=1000",176,1.3,1579.27,NA
"S&P/TSE Composite Index, close",1979-11-01,"Index, 2000=1000",176,1.3,1699.62,NA
"S&P/TSE Composite Index, close",1979-12-01,"Index, 2000=1000",176,1.3,1813.17,NA
"S&P/TSE Composite Index, close",1980-01-01,"Index, 2000=1000",176,1.3,2027.7,NA
"S&P/TSE Composite Index, close",1980-02-01,"Index, 2000=1000",176,1.3,2192.58,NA
"S&P/TSE Composite Index, close",1980-03-01,"Index, 2000=1000",176,1.3,1797.58,NA
"S&P/TSE Composite Index, close",1980-04-01,"Index, 2000=1000",176,1.3,1869.93,NA
"S&P/TSE Composite Index, close",1980-05-01,"Index, 2000=1000",176,1.3,1971.73,NA
"S&P/TSE Composite Index, close",1980-06-01,"Index, 2000=1000",176,1.3,2061.35,NA
"S&P/TSE Composite Index, close",1980-07-01,"Index, 2000=1000",176,1.3,2197.38,NA
"S&P/TSE Composite Index, close",1980-08-01,"Index, 2000=1000",176,1.3,2218.01,NA
"S&P/TSE Composite Index, close",1980-09-01,"Index, 2000=1000",176,1.3,2260.04,NA
"S&P/TSE Composite Index, close",1980-10-01,"Index, 2000=1000",176,1.3,2240.15,NA
"S&P/TSE Composite Index, close",1980-11-01,"Index, 2000=1000",176,1.3,2402.23,NA
"S&P/TSE Composite Index, close",1980-12-01,"Index, 2000=1000",176,1.3,2268.7,NA
"S&P/TSE Composite Index, close",1981-01-01,"Index, 2000=1000",176,1.3,2226.66,NA
"S&P/TSE Composite Index, close",1981-02-01,"Index, 2000=1000",176,1.3,2179.52,NA
"S&P/TSE Composite Index, close",1981-03-01,"Index, 2000=1000",176,1.3,2333.08,NA
"S&P/TSE Composite Index, close",1981-04-01,"Index, 2000=1000",176,1.3,2306.43,NA
"S&P/TSE Composite Index, close",1981-05-01,"Index, 2000=1000",176,1.3,2371.22,NA
"S&P/TSE Composite Index, close",1981-06-01,"Index, 2000=1000",176,1.3,2361.13,NA
"S&P/TSE Composite Index, close",1981-07-01,"Index, 2000=1000",176,1.3,2253.9,NA
"S&P/TSE Composite Index, close",1981-08-01,"Index, 2000=1000",176,1.3,2176.71,NA
"S&P/TSE Composite Index, close",1981-09-01,"Index, 2000=1000",176,1.3,1883.42,NA
"S&P/TSE Composite Index, close",1981-10-01,"Index, 2000=1000",176,1.3,1842.62,NA
"S&P/TSE Composite Index, close",1981-11-01,"Index, 2000=1000",176,1.3,2012.09,NA
"S&P/TSE Composite Index, close",1981-12-01,"Index, 2000=1000",176,1.3,1954.24,NA
"S&P/TSE Composite Index, close",1982-01-01,"Index, 2000=1000",176,1.3,1786.91,NA
"S&P/TSE Composite Index, close",1982-02-01,"Index, 2000=1000",176,1.3,1671.34,NA
"S&P/TSE Composite Index, close",1982-03-01,"Index, 2000=1000",176,1.3,1587.83,NA
"S&P/TSE Composite Index, close",1982-04-01,"Index, 2000=1000",176,1.3,1548.17,NA
"S&P/TSE Composite Index, close",1982-05-01,"Index, 2000=1000",176,1.3,1523.68,NA
"S&P/TSE Composite Index, close",1982-06-01,"Index, 2000=1000",176,1.3,1366.8,NA
"S&P/TSE Composite Index, close",1982-07-01,"Index, 2000=1000",176,1.3,1411.9,NA
"S&P/TSE Composite Index, close",1982-08-01,"Index, 2000=1000",176,1.3,1613.32,NA
"S&P/TSE Composite Index, close",1982-09-01,"Index, 2000=1000",176,1.3,1602.01,NA
"S&P/TSE Composite Index, close",1982-10-01,"Index, 2000=1000",176,1.3,1774.04,NA
"S&P/TSE Composite Index, close",1982-11-01,"Index, 2000=1000",176,1.3,1838.31,NA
"S&P/TSE Composite Index, close",1982-12-01,"Index, 2000=1000",176,1.3,1958.08,NA
"S&P/TSE Composite Index, close",1983-01-01,"Index, 2000=1000",176,1.3,2031.47,NA
"S&P/TSE Composite Index, close",1983-02-01,"Index, 2000=1000",176,1.3,2090.37,NA
"S&P/TSE Composite Index, close",1983-03-01,"Index, 2000=1000",176,1.3,2156.06,NA
"S&P/TSE Composite Index, close",1983-04-01,"Index, 2000=1000",176,1.3,2340.81,NA
"S&P/TSE Composite Index, close",1983-05-01,"Index, 2000=1000",176,1.3,2420.65,NA
"S&P/TSE Composite Index, close",1983-06-01,"Index, 2000=1000",176,1.3,2446.97,NA
"S&P/TSE Composite Index, close",1983-07-01,"Index, 2000=1000",176,1.3,2477.62,NA
"S&P/TSE Composite Index, close",1983-08-01,"Index, 2000=1000",176,1.3,2483.09,NA
"S&P/TSE Composite Index, close",1983-09-01,"Index, 2000=1000",176,1.3,2499.58,NA
"S&P/TSE Composite Index, close",1983-10-01,"Index, 2000=1000",176,1.3,2361.08,NA
"S&P/TSE Composite Index, close",1983-11-01,"Index, 2000=1000",176,1.3,2540.89,NA
"S&P/TSE Composite Index, close",1983-12-01,"Index, 2000=1000",176,1.3,2552.35,NA
"S&P/TSE Composite Index, close",1984-01-01,"Index, 2000=1000",176,1.3,2468.88,NA
"S&P/TSE Composite Index, close",1984-02-01,"Index, 2000=1000",176,1.3,2419.83,NA
"S&P/TSE Composite Index, close",1984-03-01,"Index, 2000=1000",176,1.3,2382.1,NA
"S&P/TSE Composite Index, close",1984-04-01,"Index, 2000=1000",176,1.3,2323.34,NA
"S&P/TSE Composite Index, close",1984-05-01,"Index, 2000=1000",176,1.3,2229.75,NA
"S&P/TSE Composite Index, close",1984-06-01,"Index, 2000=1000",176,1.3,2220.94,NA
"S&P/TSE Composite Index, close",1984-07-01,"Index, 2000=1000",176,1.3,2139.99,NA
"S&P/TSE Composite Index, close",1984-08-01,"Index, 2000=1000",176,1.3,2388.81,NA
"S&P/TSE Composite Index, close",1984-09-01,"Index, 2000=1000",176,1.3,2392.65,NA
"S&P/TSE Composite Index, close",1984-10-01,"Index, 2000=1000",176,1.3,2353.26,NA
"S&P/TSE Composite Index, close",1984-11-01,"Index, 2000=1000",176,1.3,2368.54,NA
"S&P/TSE Composite Index, close",1984-12-01,"Index, 2000=1000",176,1.3,2400.33,NA
"S&P/TSE Composite Index, close",1985-01-01,"Index, 2000=1000",176,1.3,2595.05,NA
"S&P/TSE Composite Index, close",1985-02-01,"Index, 2000=1000",176,1.3,2594.98,NA
"S&P/TSE Composite Index, close",1985-03-01,"Index, 2000=1000",176,1.3,2612.81,NA
"S&P/TSE Composite Index, close",1985-04-01,"Index, 2000=1000",176,1.3,2635.31,NA
"S&P/TSE Composite Index, close",1985-05-01,"Index, 2000=1000",176,1.3,2736.31,NA
"S&P/TSE Composite Index, close",1985-06-01,"Index, 2000=1000",176,1.3,2712.5,NA
"S&P/TSE Composite Index, close",1985-07-01,"Index, 2000=1000",176,1.3,2778.6,NA
