date,TSE_stat,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
1971-01-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1303.04,TRUE
1971-01-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1169.91,TRUE
1971-01-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,914.68,TRUE
1971-01-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,830.17,TRUE
1971-01-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,713.82,TRUE
1971-01-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,476.98,TRUE
1971-01-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.41,TRUE
1971-01-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,15.89,TRUE
1971-02-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,974.5,NA
1971-02-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,988.31,TRUE
1971-02-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1258.86,TRUE
1971-02-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1181.78,TRUE
1971-02-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,888.83,TRUE
1971-02-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,852.1,TRUE
1971-02-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,739.81,TRUE
1971-02-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,522.11,TRUE
1971-02-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.41,TRUE
1971-02-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,16.32,TRUE
1971-03-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1000.73,NA
1971-03-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1021.01,TRUE
1971-03-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1297.86,TRUE
1971-03-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1210.33,TRUE
1971-03-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,847.5,TRUE
1971-03-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,907.53,TRUE
1971-03-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,777.9,TRUE
1971-03-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,543.27,TRUE
1971-03-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.27,TRUE
1971-03-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,17.09,TRUE
1971-04-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1017,NA
1971-04-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1069.37,TRUE
1971-04-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1284.2,TRUE
1971-04-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1218.71,TRUE
1971-04-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,858.66,TRUE
1971-04-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,944.47,TRUE
1971-04-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,791.95,TRUE
1971-04-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,524.71,TRUE
1971-04-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.22,TRUE
1971-04-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,16.81,TRUE
1971-05-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,973.05,NA
1971-05-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1053.92,TRUE
1971-05-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1190.17,TRUE
1971-05-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1158.9,TRUE
1971-05-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,782.23,TRUE
1971-05-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,920.4,TRUE
1971-05-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,785.31,TRUE
1971-05-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,505.28,TRUE
1971-05-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.35,TRUE
1971-05-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,16.94,TRUE
1971-06-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,986.85,NA
1971-06-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1075.72,TRUE
1971-06-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1176.65,TRUE
1971-06-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1183.58,TRUE
1971-06-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,799.43,TRUE
1971-06-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1001.54,TRUE
1971-06-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,813.63,TRUE
1971-06-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,487.57,TRUE
1971-06-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.18,TRUE
1971-06-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,17.28,TRUE
1971-07-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,983.49,NA
1971-07-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1141.18,TRUE
1971-07-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1093.71,TRUE
1971-07-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1176.56,TRUE
1971-07-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,805.51,TRUE
1971-07-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1009.21,TRUE
1971-07-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,824.24,TRUE
1971-07-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,543.14,TRUE
1971-07-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.2,TRUE
1971-07-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,17.07,TRUE
